Enrollment Month,Plan Type,County,Plan Name, Count of Enrollees ,Count of Enrollees Annotation Code,Count of Enrollees Annotation Description
2010-04,Dental,Los Angeles,Community Dental Svcs Inc (LA),"4,104",None,None
2010-04,Dental,Sacramento,Community Dental Svcs./Sacto,"12,194",None,None
2010-04,Dental,Los Angeles,Health Net of California,"37,509",None,None
2010-04,Dental,Sacramento,Health Net of California Dental,"19,980",None,None
2010-04,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"7,598",None,None
2010-04,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"27,700",None,None
2010-04,Dental,Los Angeles,Safeguard Dental Inc.,"20,493",None,None
2010-04,Dental,Riverside,Safeguard Dental Inc.,60,None,None
2010-04,Dental,San Bernardino,Safeguard Dental Inc.,422,None,None
2010-04,Dental,Riverside,Western Dental Svcs (Riverside),145,None,None
2010-04,Dental,San Bernardino,Western Dental Svcs (San Bernardino),263,None,None
2010-04,Dental,Los Angeles,Western Dental Svcs/LA,"55,513",None,None
2010-04,Dental,Sacramento,Western Dental Svcs/Sacto,"87,099",None,None
2010-04,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"90,891",None,None
2010-04,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"11,140",None,None
2010-04,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"94,379",None,None
2010-04,Geographic Managed Care,Sacramento,Health Net/Sac,"47,180",None,None
2010-04,Geographic Managed Care,San Diego ,Health Net/San Diego,"29,251",None,None
2010-04,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"26,492",None,None
2010-04,Geographic Managed Care,San Diego ,Kaiser/San Diego,"13,436",None,None
2010-04,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"26,513",None,None
2010-04,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"60,357",None,None
2010-04,PACE,Santa Clara,OnLok Lifeways,33,None,None
2010-04,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,84,None,None
2010-04,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,876,None,None
2010-04,PACE,San Diego ,St. Paul's PACE,106,None,None
2010-04,Prepaid Health Plan,Marin,Kaiser/Marin,864,None,None
2010-04,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,739,None,None
2010-04,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,889",None,None
2010-04,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,635,None,None
2010-04,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,325,None,None
2010-04,SCAN,Los Angeles,SCAN Hlth Plan / LA,"3,064",None,None
2010-04,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,980,None,None
2010-04,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,581,None,None
2010-04,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,691,None,None
2010-04,Special Project,Contra Costa,Center for Elders Independence,36,None,None
2010-04,Special Project,Alameda,Cntr Elders Indep/Alameda,405,None,None
2010-04,Special Project,San Francisco,Family Mosaic Prj / SF,121,None,None
2010-04,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2010-04,Special Project,Sacramento,Sutter SeniorCare/Sac,210,None,None
2010-04,Two-Plan,Alameda,Alameda Alliance for Hlth,"95,113",None,None
2010-04,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,364",None,None
2010-04,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"11,286",None,None
2010-04,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"94,346",None,None
2010-04,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"28,129",None,None
2010-04,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"33,711",None,None
2010-04,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"11,917",None,None
2010-04,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"49,197",None,None
2010-04,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"77,346",None,None
2010-04,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"57,319",None,None
2010-04,Two-Plan,Los Angeles,Health Net / LA,"441,097",None,None
2010-04,Two-Plan,Fresno,Health Net /Fresno,"106,801",None,None
2010-04,Two-Plan,Kern,Health Net/Kern,"30,485",None,None
2010-04,Two-Plan,Stanislaus,Health Net/Stanislaus,"20,259",None,None
2010-04,Two-Plan,Tulare,Health Net/Tulare,"27,068",None,None
2010-04,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"73,770",None,None
2010-04,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"179,814",None,None
2010-04,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"201,917",None,None
2010-04,Two-Plan,Kern,Kern Hlth Systems,"102,185",None,None
2010-04,Two-Plan,Los Angeles,LA CARE,"808,226",None,None
2010-04,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"39,068",None,None
2010-04,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"54,910",None,None
2010-04,Two-Plan,San Francisco,San Francisco Hlth Plan,"37,530",None,None
2010-04,Two-Plan,Santa Clara,Santa Clara Family Hlth,"97,352",None,None
2010-05,COHS,Orange,CalOPTIMA / Orange,"357,429",None,None
2010-05,COHS,Merced,Central California Alliance for Health Merced,"71,450",None,None
2010-05,COHS,Monterey,Central California Alliance for Health/Monterey,"72,024",None,None
2010-05,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"34,815",None,None
2010-05,COHS,San Mateo,Hlth Plan of San Mateo,"58,435",None,None
2010-05,COHS,Sonoma,Partnership HealthPlan of CA/Sonoma,"51,315",None,None
2010-05,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"26,880",None,None
2010-05,COHS,Napa,Partnership HP of CA/Napa,"13,529",None,None
2010-05,COHS,Solano,Partnership HP of CA/Solano,"61,064",None,None
2010-05,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"62,785",None,None
2010-05,COHS,San Luis Obispo,"Santa Barbara Hlth Authrty, San Luis Obispo","28,179",None,None
2010-05,Dental,Los Angeles,Access Dental Plan/LA,"125,726",None,None
2010-05,Dental,Sacramento,Access Dental Plan/Sacto,"52,366",None,None
2010-05,Dental,Los Angeles,American Health Guard - Dental/LA,"13,760",None,None
2010-05,Dental,Los Angeles,Care1st Health Plan Dental,"17,225",None,None
2010-05,Dental,San Bernardino,Care1st Health Plan Dental,105,None,None
2010-05,Dental,Los Angeles,Community Dental Svcs Inc (LA),"4,100",None,None
2010-05,Dental,Sacramento,Community Dental Svcs./Sacto,"12,256",None,None
2010-05,Dental,Los Angeles,Health Net of California,"38,335",None,None
2010-05,Dental,Sacramento,Health Net of California Dental,"20,812",None,None
2010-05,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"7,634",None,None
2010-05,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"27,712",None,None
2010-05,Dental,Los Angeles,Safeguard Dental Inc.,"20,465",None,None
2010-05,Dental,Riverside,Safeguard Dental Inc.,58,None,None
2010-05,Dental,San Bernardino,Safeguard Dental Inc.,418,None,None
2010-05,Dental,Riverside,Western Dental Svcs (Riverside),146,None,None
2010-05,Dental,San Bernardino,Western Dental Svcs (San Bernardino),257,None,None
2010-05,Dental,Los Angeles,Western Dental Svcs/LA,"55,516",None,None
2010-05,Dental,Sacramento,Western Dental Svcs/Sacto,"87,740",None,None
2010-05,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"91,246",None,None
2010-05,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"11,562",None,None
2010-05,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"95,666",None,None
2010-05,Geographic Managed Care,Sacramento,Health Net/Sac,"48,132",None,None
2010-05,Geographic Managed Care,San Diego ,Health Net/San Diego,"29,474",None,None
2010-05,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"26,569",None,None
2010-05,Geographic Managed Care,San Diego ,Kaiser/San Diego,"13,473",None,None
2010-05,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"26,754",None,None
2010-05,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"61,380",None,None
2010-05,PACE,Santa Clara,OnLok Lifeways,38,None,None
2010-05,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,83,None,None
2010-05,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,870,None,None
2010-05,PACE,San Diego ,St. Paul's PACE,107,None,None
2010-05,Prepaid Health Plan,Marin,Kaiser/Marin,885,None,None
2010-05,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,749,None,None
2010-05,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,879",None,None
2010-05,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,638,None,None
2010-05,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,326,None,None
2010-05,SCAN,Los Angeles,SCAN Hlth Plan / LA,"3,081",None,None
2010-05,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,977,None,None
2010-05,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,586,None,None
2010-05,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,690,None,None
2010-05,Special Project,Contra Costa,Center for Elders Independence,36,None,None
2010-05,Special Project,Alameda,Cntr Elders Indep/Alameda,404,None,None
2010-05,Special Project,San Francisco,Family Mosaic Prj / SF,125,None,None
2010-05,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2010-05,Special Project,Sacramento,Sutter SeniorCare/Sac,210,None,None
2010-05,Two-Plan,Alameda,Alameda Alliance for Hlth,"95,849",None,None
2010-05,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,531",None,None
2010-05,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"11,313",None,None
2010-05,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"93,082",None,None
2010-05,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"27,902",None,None
2010-05,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"33,593",None,None
2010-05,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"11,920",None,None
2010-05,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"49,155",None,None
2010-05,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"77,145",None,None
2010-05,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"58,043",None,None
2010-05,Two-Plan,Los Angeles,Health Net / LA,"441,203",None,None
2010-05,Two-Plan,Fresno,Health Net /Fresno,"109,018",None,None
2010-05,Two-Plan,Kern,Health Net/Kern,"30,965",None,None
2010-05,Two-Plan,Stanislaus,Health Net/Stanislaus,"20,494",None,None
2010-05,Two-Plan,Tulare,Health Net/Tulare,"27,757",None,None
2010-05,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"74,187",None,None
2010-05,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"181,406",None,None
2010-05,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"204,291",None,None
2010-05,Two-Plan,Kern,Kern Hlth Systems,"103,607",None,None
2010-05,Two-Plan,Los Angeles,LA CARE,"816,024",None,None
2010-05,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"39,207",None,None
2010-05,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"55,199",None,None
2010-05,Two-Plan,San Francisco,San Francisco Hlth Plan,"37,839",None,None
2010-05,Two-Plan,Santa Clara,Santa Clara Family Hlth,"98,276",None,None
2010-06,COHS,Orange,CalOPTIMA / Orange,"359,840",None,None
2010-06,COHS,Merced,Central California Alliance for Health Merced,"71,523",None,None
2010-06,COHS,Monterey,Central California Alliance for Health/Monterey,"71,969",None,None
2010-06,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"34,895",None,None
2010-06,COHS,San Mateo,Hlth Plan of San Mateo,"58,646",None,None
2010-06,COHS,Sonoma,Partnership HealthPlan of CA/Sonoma,"51,645",None,None
2010-06,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"26,986",None,None
2010-06,COHS,Napa,Partnership HP of CA/Napa,"13,663",None,None
2010-06,COHS,Solano,Partnership HP of CA/Solano,"61,152",None,None
2010-06,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"63,041",None,None
2010-06,COHS,San Luis Obispo,"Santa Barbara Hlth Authrty, San Luis Obispo","28,323",None,None
2010-06,Dental,Los Angeles,Access Dental Plan/LA,"129,281",None,None
2010-06,Dental,Sacramento,Access Dental Plan/Sacto,"52,042",None,None
2010-06,Dental,Los Angeles,American Health Guard - Dental/LA,"13,259",None,None
2010-06,Dental,Los Angeles,Care1st Health Plan Dental,"17,021",None,None
2010-06,Dental,San Bernardino,Care1st Health Plan Dental,103,None,None
2010-06,Dental,Los Angeles,Community Dental Svcs Inc (LA),"4,024",None,None
2010-06,Dental,Sacramento,Community Dental Svcs./Sacto,"12,043",None,None
2010-06,Dental,Los Angeles,Health Net of California,"38,705",None,None
2010-06,Dental,Sacramento,Health Net of California Dental,"21,473",None,None
2010-06,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"7,619",None,None
2010-06,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"27,585",None,None
2010-06,Dental,Los Angeles,Safeguard Dental Inc.,"20,312",None,None
2010-06,Dental,Riverside,Safeguard Dental Inc.,57,None,None
2010-06,Dental,San Bernardino,Safeguard Dental Inc.,406,None,None
2010-06,Dental,Riverside,Western Dental Svcs (Riverside),143,None,None
2010-06,Dental,San Bernardino,Western Dental Svcs (San Bernardino),253,None,None
2010-06,Dental,Los Angeles,Western Dental Svcs/LA,"55,040",None,None
2010-06,Dental,Sacramento,Western Dental Svcs/Sacto,"87,766",None,None
2010-06,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"90,950",None,None
2010-06,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"11,799",None,None
2010-06,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"96,279",None,None
2010-06,Geographic Managed Care,Sacramento,Health Net/Sac,"48,736",None,None
2010-06,Geographic Managed Care,San Diego ,Health Net/San Diego,"29,483",None,None
2010-06,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"26,546",None,None
2010-06,Geographic Managed Care,San Diego ,Kaiser/San Diego,"13,415",None,None
2010-06,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"26,702",None,None
2010-06,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"61,303",None,None
2010-06,PACE,Santa Clara,OnLok Lifeways,39,None,None
2010-06,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,83,None,None
2010-06,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,874,None,None
2010-06,PACE,San Diego ,St. Paul's PACE,103,None,None
2010-06,Prepaid Health Plan,Marin,Kaiser/Marin,879,None,None
2010-06,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,755,None,None
2010-06,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,862",None,None
2010-06,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,640,None,None
2010-06,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,332,None,None
2010-06,SCAN,Los Angeles,SCAN Hlth Plan / LA,"3,030",None,None
2010-06,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,959,None,None
2010-06,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,577,None,None
2010-06,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,723,None,None
2010-06,Special Project,Contra Costa,Center for Elders Independence,35,None,None
2010-06,Special Project,Alameda,Cntr Elders Indep/Alameda,400,None,None
2010-06,Special Project,San Francisco,Family Mosaic Prj / SF,120,None,None
2010-06,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2010-06,Special Project,Sacramento,Sutter SeniorCare/Sac,207,None,None
2010-06,Two-Plan,Alameda,Alameda Alliance for Hlth,"96,762",None,None
2010-06,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,637",None,None
2010-06,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"11,251",None,None
2010-06,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"91,902",None,None
2010-06,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"27,691",None,None
2010-06,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"33,509",None,None
2010-06,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"11,832",None,None
2010-06,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"49,306",None,None
2010-06,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"76,603",None,None
2010-06,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"58,595",None,None
2010-06,Two-Plan,Los Angeles,Health Net / LA,"438,750",None,None
2010-06,Two-Plan,Fresno,Health Net /Fresno,"111,091",None,None
2010-06,Two-Plan,Kern,Health Net/Kern,"30,879",None,None
2010-06,Two-Plan,Stanislaus,Health Net/Stanislaus,"20,928",None,None
2010-06,Two-Plan,Tulare,Health Net/Tulare,"28,490",None,None
2010-06,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"74,484",None,None
2010-06,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"181,612",None,None
2010-06,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"205,249",None,None
2010-06,Two-Plan,Kern,Kern Hlth Systems,"103,725",None,None
2010-06,Two-Plan,Los Angeles,LA CARE,"818,639",None,None
2010-06,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"39,165",None,None
2010-06,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"55,183",None,None
2010-06,Two-Plan,San Francisco,San Francisco Hlth Plan,"38,055",None,None
2010-06,Two-Plan,Santa Clara,Santa Clara Family Hlth,"98,702",None,None
2010-07,COHS,Orange,CalOPTIMA / Orange,"361,720",None,None
2010-07,COHS,Merced,Central California Alliance for Health Merced,"71,832",None,None
2010-07,COHS,Monterey,Central California Alliance for Health/Monterey,"72,379",None,None
2010-07,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"35,023",None,None
2010-07,COHS,San Mateo,Hlth Plan of San Mateo,"58,987",None,None
2010-07,COHS,Sonoma,Partnership HealthPlan of CA/Sonoma,"52,072",None,None
2010-07,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"27,157",None,None
2010-07,COHS,Napa,Partnership HP of CA/Napa,"13,732",None,None
2010-07,COHS,Solano,Partnership HP of CA/Solano,"61,740",None,None
2010-07,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"63,382",None,None
2010-07,COHS,San Luis Obispo,"Santa Barbara Hlth Authrty, San Luis Obispo","28,453",None,None
2010-07,Dental,Los Angeles,Access Dental Plan/LA,"133,926",None,None
2010-07,Dental,Sacramento,Access Dental Plan/Sacto,"52,300",None,None
2010-07,Dental,Los Angeles,American Health Guard - Dental/LA,"12,953",None,None
2010-07,Dental,Los Angeles,Care1st Health Plan Dental,"16,889",None,None
2010-07,Dental,San Bernardino,Care1st Health Plan Dental,103,None,None
2010-07,Dental,Los Angeles,Community Dental Svcs Inc (LA),"3,972",None,None
2010-07,Dental,Sacramento,Community Dental Svcs./Sacto,"11,985",None,None
2010-07,Dental,Los Angeles,Health Net of California,"39,421",None,None
2010-07,Dental,Sacramento,Health Net of California Dental,"22,233",None,None
2010-07,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"7,592",None,None
2010-07,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"27,731",None,None
2010-07,Dental,Los Angeles,Safeguard Dental Inc.,"20,239",None,None
2010-07,Dental,Riverside,Safeguard Dental Inc.,57,None,None
2010-07,Dental,San Bernardino,Safeguard Dental Inc.,398,None,None
2010-07,Dental,Riverside,Western Dental Svcs (Riverside),140,None,None
2010-07,Dental,San Bernardino,Western Dental Svcs (San Bernardino),252,None,None
2010-07,Dental,Los Angeles,Western Dental Svcs/LA,"54,907",None,None
2010-07,Dental,Sacramento,Western Dental Svcs/Sacto,"88,141",None,None
2010-07,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"91,210",None,None
2010-07,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"13,026",None,None
2010-07,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"97,315",None,None
2010-07,Geographic Managed Care,Sacramento,Health Net/Sac,"49,608",None,None
2010-07,Geographic Managed Care,San Diego ,Health Net/San Diego,"29,919",None,None
2010-07,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"26,588",None,None
2010-07,Geographic Managed Care,San Diego ,Kaiser/San Diego,"13,431",None,None
2010-07,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"27,003",None,None
2010-07,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"61,283",None,None
2010-07,PACE,Santa Clara,OnLok Lifeways,44,None,None
2010-07,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,79,None,None
2010-07,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,889,None,None
2010-07,PACE,San Diego ,St. Paul's PACE,108,None,None
2010-07,Prepaid Health Plan,Marin,Kaiser/Marin,892,None,None
2010-07,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,761,None,None
2010-07,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,897",None,None
2010-07,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,649,None,None
2010-07,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,345,None,None
2010-07,SCAN,Los Angeles,SCAN Hlth Plan / LA,"3,017",None,None
2010-07,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,947,None,None
2010-07,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,573,None,None
2010-07,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,732,None,None
2010-07,Special Project,Contra Costa,Center for Elders Independence,35,None,None
2010-07,Special Project,Alameda,Cntr Elders Indep/Alameda,421,None,None
2010-07,Special Project,San Francisco,Family Mosaic Prj / SF,106,None,None
2010-07,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2010-07,Special Project,Sacramento,Sutter SeniorCare/Sac,214,None,None
2010-07,Two-Plan,Alameda,Alameda Alliance for Hlth,"97,598",None,None
2010-07,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,725",None,None
2010-07,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"11,281",None,None
2010-07,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"90,474",None,None
2010-07,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"27,644",None,None
2010-07,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"33,545",None,None
2010-07,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"11,760",None,None
2010-07,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"49,615",None,None
2010-07,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"76,311",None,None
2010-07,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"59,172",None,None
2010-07,Two-Plan,Los Angeles,Health Net / LA,"438,802",None,None
2010-07,Two-Plan,Fresno,Health Net /Fresno,"112,702",None,None
2010-07,Two-Plan,Kern,Health Net/Kern,"31,571",None,None
2010-07,Two-Plan,Stanislaus,Health Net/Stanislaus,"21,365",None,None
2010-07,Two-Plan,Tulare,Health Net/Tulare,"29,086",None,None
2010-07,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"75,037",None,None
2010-07,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"182,876",None,None
2010-07,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"207,509",None,None
2010-07,Two-Plan,Kern,Kern Hlth Systems,"104,807",None,None
2010-07,Two-Plan,Los Angeles,LA CARE,"825,998",None,None
2010-07,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"39,620",None,None
2010-07,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"55,713",None,None
2010-07,Two-Plan,San Francisco,San Francisco Hlth Plan,"38,334",None,None
2010-07,Two-Plan,Santa Clara,Santa Clara Family Hlth,"99,230",None,None
2010-08,COHS,Orange,CalOPTIMA / Orange,"364,011",None,None
2010-08,COHS,Merced,Central California Alliance for Health Merced,"72,066",None,None
2010-08,COHS,Monterey,Central California Alliance for Health/Monterey,"72,920",None,None
2010-08,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"34,902",None,None
2010-08,COHS,San Mateo,Hlth Plan of San Mateo,"59,234",None,None
2010-08,COHS,Sonoma,Partnership HealthPlan of CA/Sonoma,"52,257",None,None
2010-08,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"27,151",None,None
2010-08,COHS,Napa,Partnership HP of CA/Napa,"13,886",None,None
2010-08,COHS,Solano,Partnership HP of CA/Solano,"61,352",None,None
2010-08,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"63,513",None,None
2010-08,COHS,San Luis Obispo,"Santa Barbara Hlth Authrty, San Luis Obispo","28,543",None,None
2010-08,Dental,Los Angeles,Access Dental Plan/LA,"136,046",None,None
2010-08,Dental,Sacramento,Access Dental Plan/Sacto,"52,723",None,None
2010-08,Dental,Los Angeles,American Health Guard - Dental/LA,"12,618",None,None
2010-08,Dental,Los Angeles,Care1st Health Plan Dental,"16,778",None,None
2010-08,Dental,San Bernardino,Care1st Health Plan Dental,103,None,None
2010-08,Dental,Los Angeles,Community Dental Svcs Inc (LA),"3,917",None,None
2010-08,Dental,Sacramento,Community Dental Svcs./Sacto,"12,213",None,None
2010-08,Dental,Los Angeles,Health Net of California,"40,072",None,None
2010-08,Dental,Sacramento,Health Net of California Dental,"23,334",None,None
2010-08,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"7,547",None,None
2010-08,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"28,079",None,None
2010-08,Dental,Los Angeles,Safeguard Dental Inc.,"20,135",None,None
2010-08,Dental,Riverside,Safeguard Dental Inc.,57,None,None
2010-08,Dental,San Bernardino,Safeguard Dental Inc.,391,None,None
2010-08,Dental,Riverside,Western Dental Svcs (Riverside),138,None,None
2010-08,Dental,San Bernardino,Western Dental Svcs (San Bernardino),250,None,None
2010-08,Dental,Los Angeles,Western Dental Svcs/LA,"54,760",None,None
2010-08,Dental,Sacramento,Western Dental Svcs/Sacto,"88,920",None,None
2010-08,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"92,283",None,None
2010-08,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"14,361",None,None
2010-08,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"99,891",None,None
2010-08,Geographic Managed Care,Sacramento,Health Net/Sac,"51,090",None,None
2010-08,Geographic Managed Care,San Diego ,Health Net/San Diego,"30,955",None,None
2010-08,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"26,768",None,None
2010-08,Geographic Managed Care,San Diego ,Kaiser/San Diego,"13,413",None,None
