county_fips,County,population,num_uninsured,num_insured,pct_uninsured,pct_uninsured_moe,year
00007,Butte,13158,3097,10061,23.5,3.7,2008
00007,Butte,7006,1682,5324,24.0,4.7,2008
00007,Butte,28890,7582,21308,26.2,3.9,2008
00007,Butte,48318,4098,44220,8.5,1.7,2008
00007,Butte,24242,2693,21549,11.1,2.6,2008
00007,Butte,28845,3154,25691,10.9,2.4,2008
00007,Butte,17557,1897,15661,10.8,2.9,2008
00007,Butte,38350,3773,34577,9.8,2.0,2008
00007,Butte,18011,4251,13760,23.6,3.2,2008
00007,Butte,69014,13100,55914,19.0,2.3,2008
00007,Butte,63025,9893,53132,15.7,1.6,2008
00007,Butte,18312,6044,12268,33.0,4.9,2008
00007,Butte,46716,14108,32608,30.2,3.1,2008
00007,Butte,77916,18818,59098,24.2,2.2,2008
00007,Butte,93819,22426,71393,23.9,2.0,2008
00007,Butte,55606,13111,42495,23.6,2.5,2008
00007,Butte,131195,28827,102368,22.0,1.7,2008
00007,Butte,92269,18792,73477,20.4,2.0,2008
00007,Butte,38106,10138,27968,26.6,3.2,2008
00007,Butte,46220,12178,34043,26.3,2.9,2008
00007,Butte,26909,6978,19931,25.9,3.6,2008
00007,Butte,65513,15909,49604,24.3,2.4,2008
00007,Butte,90910,14815,76095,16.3,1.8,2008
00007,Butte,39810,8680,31129,21.8,3.0,2008
00007,Butte,183179,33607,149572,18.3,1.4,2008
00007,Butte,28698,6133,22565,21.4,3.4,2008
00007,Butte,47599,10248,37350,21.5,2.8,2008
00007,Butte,26219,8814,17404,33.6,4.3,2008
00007,Butte,68883,16852,52031,24.5,2.5,2008
00007,Butte,95138,25459,69679,26.8,2.2,2008
00007,Butte,32044,10641,21403,33.2,3.9,2008
00007,Butte,66685,19601,47084,29.4,2.7,2008
00007,Butte,55109,16397,38712,29.8,2.9,2008
00007,Butte,137897,29952,107945,21.7,1.8,2008
00007,Butte,65683,12918,52764,19.7,2.2,2008
00007,Butte,39146,11417,27729,29.2,3.3,2008
00009,Calaveras,5583,1803,3780,32.3,5.2,2008
00009,Calaveras,1635,540,1095,33.0,6.0,2008
00009,Calaveras,2932,1061,1871,36.2,6.8,2008
00009,Calaveras,8944,2252,6693,25.2,3.8,2008
00009,Calaveras,16459,2211,14249,13.4,1.7,2008
00009,Calaveras,6384,719,5666,11.3,2.6,2008
00009,Calaveras,4752,1415,3337,29.8,3.8,2008
00009,Calaveras,2283,779,1503,34.1,5.1,2008
00009,Calaveras,8277,1837,6440,22.2,2.7,2008
00009,Calaveras,7935,1071,6864,13.5,2.2,2008
00009,Calaveras,2142,658,1484,30.7,5.3,2008
00009,Calaveras,2610,757,1853,29.0,5.4,2008
00009,Calaveras,3827,870,2957,22.7,3.7,2008
00009,Calaveras,8524,1139,7385,13.4,2.4,2008
00009,Calaveras,2040,635,1405,31.1,6.1,2008
00009,Calaveras,1287,428,860,33.2,7.2,2008
00009,Calaveras,4450,967,3483,21.7,3.8,2008
00009,Calaveras,8908,798,8110,9.0,2.0,2008
00009,Calaveras,3298,477,2820,14.5,3.7,2008
00009,Calaveras,4175,579,3597,13.9,3.4,2008
00009,Calaveras,2040,305,1735,15.0,4.4,2008
