Year,County,Violent Crimes,Homicide,Rape (Forcible Rape prior to 2014),Rape,Attempted Rape,Robbery,Weapon,Firearm,Knife or Cutting Instrument,Other Weapon,Strong-Arm,Location,Highway,Commercial,Gas Station,Convenience Store,Residence,Bank,Miscellaneous,Aggravated Assault,Weapon.1,Firearm.1,Knife or Cutting Instrument.1,Other Weapon.1,Hands  Fists  Feet,Property Crimes,Burglary,Means of Entry,Forcible Entry,No Force,Location / Time,Residence.1,Night,Day,Unknown,Non-Residence,Night.1,Day.1,Unknown.1,Motor Vehicle Theft,Automotive,Trucks and Buses,Other,Larceny-Theft,Type,Pocket-Picking,Purse-Snatching,Shoplifting,From Motor Vehicle,Motor Vehicle Accessories,Bicycles,From Building,Coin Operated Machine,Other.1,Value,Over $400,Over $200,$200 through $400,$50 through $199,Under $50,Arson,Structural Property,Mobile Property,Other Property
1985,Merced,509,13.0,45.0,33.0,12.0,126,,35,16,8.0,67,,69,11,6.0,4.0,14.0,3.0,19,325,,33,76,117,99,"6,792","1,848",,"1,199",649,,"1,032",409,394,229,816,397,263,156,330,202,53,75,"4,614",,7,59,677,779,655,741,580,44,"1,072",,536,0,629,"1,315","2,134",42,19.0,13.0,10
1985,Modoc,40.0,1.0,0.0,0.0,0.0,2.0,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,,2.0,0.0,5.0,30.0,256.0,107.0,,65.0,42.0,,44.0,16.0,8.0,20.0,63.0,46.0,5.0,12.0,13.0,10.0,1.0,2.0,136.0,,0.0,0.0,8.0,42.0,11.0,4.0,28.0,2.0,41.0,,40.0,0.0,26.0,38.0,32.0,4.0,1.0,3.0,0.0
1985,Mono,37.0,0.0,3.0,2.0,1.0,2.0,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32.0,,0.0,3.0,8.0,21.0,574.0,208.0,,99.0,109.0,,98.0,22.0,29.0,47.0,110.0,45.0,35.0,30.0,19.0,11.0,2.0,6.0,347.0,,0.0,0.0,7.0,57.0,15.0,8.0,107.0,1.0,152.0,,116.0,0.0,94.0,79.0,58.0,1.0,0.0,0.0,1.0
1985,Monterey,"1,854",26,121,94,27,455,,153,82,35,185,,140,61,23,24,45,7,155,"1,252",,118,240,440,454,"15,993","4,247",,"3,068","1,179",,"2,709",698,"1,188",823,"1,538",773,222,543,684,469,90,125,"11,062",,44,53,"2,146","2,600","1,863","1,178","1,213",49,"1,916",,"2,253",0,"1,857","3,034","3,918",178,66,39,73
1985,Napa,492,4,30,22,8,34,,10,9,0,15,,1,2,4,2,6,1,18,424,,19,30,48,327,"4,704","1,211",,726,485,,763,227,270,266,448,254,44,150,302,187,45,70,"3,191",,22,9,429,383,451,468,552,20,857,,515.0,0,640.0,924,"1,112",34,13,4,17
1985,Nevada,202.0,6.0,10.0,5.0,5.0,16.0,,5.0,2.0,2.0,7.0,,6.0,0.0,1.0,0.0,5.0,2.0,2.0,170.0,,20.0,19.0,33.0,98.0,"2,211",686.0,,499.0,187.0,,386.0,68.0,106.0,212.0,300.0,222.0,31.0,47.0,136.0,76.0,26.0,34.0,"1,389",,2.0,4.0,180.0,336.0,98.0,53.0,361.0,12.0,343.0,,368.0,0.0,271.0,322.0,428.0,29.0,8.0,6.0,15.0
1985,Orange,"8,573",115,545,370,175,"3,746",,"1,803",614,290,"1,039",,"1,198","1,010",204,376,302,197,459,"4,167",,659,751,"1,534","1,223","117,768","34,296",,"22,913","11,383",,"22,669","5,809","10,946","5,914","11,627","4,733","2,578","4,316","11,320","6,862","2,852","1,606","72,152",,250,497,"10,057","16,435","14,947","7,312","9,600",397,"12,657",,"14,810",0,"11,526","20,841","24,975","1,463",465,293,705
1985,Placer,516,8.0,19,18.0,1.0,80,,35,9,8.0,28,,20,17,3.0,9.0,11.0,3.0,17,409,,45,32,105,227,"5,995","1,845",,"1,225",620,,"1,160",262,413,485,685,344,95,246,354,193,103,58,"3,796",,14,13,537,921,393,249,590,37,"1,042",,828,0,640,943,"1,385",100,12.0,9.0,79
1985,Plumas,49.0,0.0,2.0,1.0,1.0,4.0,,0.0,2.0,0.0,2.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,43.0,,4.0,8.0,16.0,15.0,900.0,250.0,,166.0,84.0,,108.0,29.0,28.0,51.0,142.0,77.0,16.0,49.0,18.0,13.0,3.0,2.0,632.0,,1.0,1.0,30.0,50.0,15.0,62.0,54.0,3.0,416.0,,68.0,0.0,173.0,94.0,297.0,1.0,1.0,0.0,0.0
1985,Riverside,"5,327",79.0,298.0,212.0,86.0,"1,643",,649,259.0,149.0,586,,578,276.0,98.0,192.0,190.0,51.0,258.0,"3,307",,564,669,"1,179",895,"54,414","19,188",,"13,413","5,775",,"13,731","4,005","5,775","3,951","5,457","3,116",812,"1,529","4,370","2,512","1,094",764,"30,856",,78.0,144.0,"6,280","7,786","3,409","2,712","2,361",200,"7,886",,"5,679",0,"4,478","8,302","12,397",804.0,208.0,166.0,430.0
1985,Sacramento,"6,386",66,457,313,144,"3,296",,"1,182",319,444,"1,351",,"1,162",360,137,444,502,123,568,"2,567",,610,426,"1,100",431,"66,615","20,055",,"14,531","5,524",,"15,378","4,580","6,283","4,515","4,677","2,401",754,"1,522","5,872","3,858","1,246",768,"40,688",,51,473,"7,448","11,260","6,740","3,183","5,570",163,"5,800",,"10,011",0,"6,420","8,272","15,985",434,268,122,44
1985,San Benito,149.0,1.0,7.0,7.0,0.0,15.0,,2.0,5.0,0.0,8.0,,7.0,1.0,1.0,0.0,3.0,0.0,3.0,126.0,,16.0,18.0,29.0,63.0,"1,301",452.0,,270.0,182.0,,337.0,134.0,93.0,110.0,115.0,72.0,16.0,27.0,64.0,33.0,22.0,9.0,785.0,,0.0,2.0,111.0,151.0,143.0,145.0,99.0,5.0,129.0,,142.0,0.0,154.0,282.0,207.0,14.0,9.0,3.0,2.0
1985,San Bernardino,"8,574",109,451,314,137,"2,626",,"1,027",403,182,"1,014",,820,455,158,283,320,51,539,"5,388",,933,712,"1,530","2,213","58,910","22,158",,"14,873","7,285",,"16,021","4,215","5,793","6,013","6,137","2,662","1,240","2,235","5,765","3,325","1,315","1,125","30,987",,167,449,"5,695","7,743","3,357","3,163","3,861",216,"6,336",,"6,215",0,"4,798","8,915","11,059",804,279,212,313
1985,San Diego,"10,817",163.0,596,536.0,60.0,"4,434",,"1,382",686,431.0,"1,935",,"2,001",443,120.0,178.0,327.0,96.0,"1,269","5,624",,965,"1,279","2,496",884,"109,604","31,048",,"15,006","16,042",,"22,137","3,405","9,158","9,574","8,911","1,809","1,400","5,702","16,428","9,339","4,965","2,124","62,128",,90,391,"9,415","20,446","8,078","6,531","10,814",237,"6,126",,"15,166",0,"12,835","17,019","17,108",835,476.0,226.0,133
1985,San Francisco,"9,667",85.0,515.0,371.0,144.0,"5,153",,"1,349",602,225.0,"2,977",,"2,981",558,58.0,95.0,287.0,194.0,980,"3,914",,288,866,"1,889",871,"50,395","11,857",,"6,418","5,439",,"6,285","1,874","4,403",8,"5,572","3,267","2,282",23,"5,991","4,684",581,726,"32,547",,"2,309","1,053","5,199","12,033",736,670,"5,394",343,"4,810",,"5,734",0,"3,235","4,216","19,362",405,258.0,109.0,38
1985,San Joaquin,"2,447",52.0,146.0,104.0,42.0,946,,346.0,148.0,38.0,414.0,,461,142.0,46.0,71.0,120.0,17.0,89.0,"1,303",,277,328.0,420,278,"32,104","9,613",,"6,722","2,891",,"6,530","1,497","2,732","2,301","3,083","1,318",375.0,"1,390","1,812",994,553,265.0,"20,679",,64.0,172.0,"3,326","4,152","4,278","2,082","2,536",101,"3,968",,"4,290",0,"3,701","6,163","6,525",238.0,118.0,90.0,30.0
1985,San Luis Obispo,534,9,54,40,14,76,,21,16,10,29,,18,13,2,3,14,4,22,395,,46,67,95,187,"7,474","2,141",,"1,386",755,,"1,197",362,416,419,944,526,112,306,435,211,95,129,"4,898",,34,14,715,"1,041",601,534,917,41,"1,001",,792,0,788,"1,558","1,760",61,35,12,14
1985,San Mateo,"2,484",36,154,119,35,752,,228,85,49,390,,329,103,45,41,57,30,147,"1,542",,135,142,422,843,"25,750","5,717",,"3,592","2,125",,"3,650",877,"1,901",872,"2,067","1,015",405,647,"2,262","1,768",246,248,"17,771",,133,163,"3,316","4,165","3,180","1,197","3,081",240,"2,296",,"4,454",0,"3,048","4,563","5,706",225,105,54,66
1985,Santa Barbara,"1,150",18.0,111,75.0,36.0,284,,103,44,32.0,105,,74,46,7.0,22.0,21.0,23.0,91,737,,81,152,280,224,"15,568","3,635",,"2,421","1,214",,"2,377",625,"1,005",747,"1,258",432,303,523,891,481,128,282,"11,042",,20,40,"1,636","2,008","1,177","2,330",934,32,"2,865",,"1,665",0,"1,889","3,362","4,126",145,53.0,27.0,65
1985,Santa Clara,"5,716",86,626,385,241,"1,920",,713,274,147,786,,587,433,171,81,143,98,407,"3,084",,390,573,"1,100","1,021","68,994","16,770",,"12,293","4,477",,"11,486","2,851","6,556","2,079","5,284","2,259","1,213","1,812","5,005","3,289",843,873,"47,219",,204,275,"9,113","7,779","11,503","5,080","7,472",289,"5,504",,"7,171",0,"6,027","11,190","22,831",836,375,135,326
1985,Santa Cruz,"1,085",16.0,81.0,47.0,34.0,300,,71.0,52.0,28.0,149.0,,152,43.0,19.0,17.0,29.0,8.0,32.0,688,,44,116.0,245,283,"14,450","4,176",,"2,615","1,561",,"2,693",652,"1,330",711,"1,483",851,227.0,405,776,467,185,124.0,"9,498",,134.0,126.0,"1,897","2,872","1,137","1,007","1,034",40,"1,251",,"1,793",0,"1,624","2,326","3,755",76.0,31.0,22.0,23.0
1985,Shasta,532,13.0,67.0,44.0,23.0,86.0,,35.0,9.0,10.0,32.0,,29.0,10.0,10.0,12.0,12.0,1.0,12.0,366,,54.0,50.0,90.0,172.0,"6,380","2,311",,"1,429",882.0,,"1,134",271.0,359.0,504.0,"1,177",552.0,212.0,413.0,316,150.0,75.0,91.0,"3,753",,4.0,11.0,725,765,354.0,327.0,770.0,7.0,790,,867,0.0,547.0,937,"1,402",35.0,13.0,12.0,10.0
